what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915183821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915214384
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574915218014
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915222209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915225503
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915227801
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915229935
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915247696
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915250337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574915258052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915284024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915286804
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1574915332412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915341922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915349869
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915387765
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915395917
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915397182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915398828
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915400849
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915400878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915400918
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1574915406446
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1574915406676
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1574915406695
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1574915406761
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1574915406819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915407084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915408860
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1574915409693
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1574915409727
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1574915409735
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1574915409739
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1574915409768
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1574915409774
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1574915409789
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1574915409809
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1574915409844
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1574915409849
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1574915409865
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1574915409903
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1574915409913
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1574915409935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915410152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915411539
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574915413010
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915437984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915455655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915465209
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915467811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574915477706
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915480536
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915482750
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1574915484737
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574915485195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915552126
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915552394
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1574915630990
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915632518
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1574915635151
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915636179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915637422
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574915638407
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915672751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915686333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915699729
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1574915726055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915737341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915742510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915755590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915757181
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574915758358
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1574915766622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915767159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915769038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915775830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915777172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915790153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915791484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915799362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915800929
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915820560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1574915827678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915829788
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915831336
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574915832183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915843901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915845200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915856887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574915862827
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915874151
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915893319
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574915904721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1574916013612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1574916041960
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916044582
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916049129
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916050330
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916051265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916056246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916079762
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574916091665
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916099007
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574916099036
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916106798
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574916134291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916137852
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1574916157808
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1574916157868
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1574916157884
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1574916159573
error,log,,,"A workspace crash was detected. The previous session did not exit normally. Not using saved taglib indexes.",1574916159582
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1574916159607
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1574916159714
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1574916159850
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1574916159910
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1574916160436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916160464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916175901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916198465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916199953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916204957
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574916208219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574916219970
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1574916232506
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1574916232517
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1574916232526
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1574916232569
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1574916232573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916314045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916314465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1574916324857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916368284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916368605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574916390947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917030424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917048179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917049270
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574917070265
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574917073787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917105520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917105791
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574917130003
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574917145711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917171341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574917175362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1574917188117
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574917190662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574917199947
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574917203277
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1574918616216
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1574918616219
