what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574399887966
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574399888063
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574399888086
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574399900621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574399903890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400108682
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574400119801
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574400120022
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574400120096
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574400120114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400142734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400163526
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400180178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400214956
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574400215242
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574400215337
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574400223631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400287978
error,log,,,"Internal Error",1574400311587
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.move.element",1574400315796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400315846
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574400323169
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574400333037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400442334
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.extract.class",1574400449377
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400449397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574400468585
error,log,,,"Internal Error",1574400482593
error,log,,,"Internal Error",1574400491172
error,log,,,"Internal Error",1574400529769
