what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152434740
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152436439
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152437881
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152441537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574152442978
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152447658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574152447718
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574152450628
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152452158
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574152455814
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153289652
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153289652
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574153298318
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153298319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153313805
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1574153333488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153333507
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153349346
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153357469
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153367449
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153367531
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574153367560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153370703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153372421
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574153373947
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574153406183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153412364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153440428
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153440565
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153440630
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153450375
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574153459911
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153460078
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153460147
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574153460169
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153466939
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153473499
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153489668
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153499782
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153505410
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1574153518909
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153545309
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153551937
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1574153559239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153562246
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1574153575233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153575246
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153577953
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153581913
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153591128
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153601756
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153617829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153621114
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153622112
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574153626973
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153628004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574153629972
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153649959
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153659778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153691829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153694586
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153730512
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153731746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153820151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153821379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153821814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153823023
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574153825157
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153839568
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1574153841581
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153853567
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1574153868170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1574153874430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574153877491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1574153881457
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153883591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153890698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153890893
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153903972
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574153909439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574153971114
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154005786
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154007645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154011835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154013460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154013763
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154016189
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154017039
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154031027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154052387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154053684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154054028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154055800
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154056874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154068764
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154070085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154071390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154092388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154095506
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154096871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154114430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154118111
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154144693
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154199836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574154201829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154203333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154204882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154206394
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154206703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154208132
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154208730
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574154209791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154213633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154215342
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154222444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154226343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154228092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154228421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154229724
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154230883
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574154232149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154256214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154266887
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154272409
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154274094
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154285417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154304372
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154318839
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154328973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574154331141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154334086
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154335412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154335676
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154337189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574154338904
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154343351
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154345980
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1574154351688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1574154354752
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154356028
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1574154364279
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154379047
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1574154380956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154397753
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154399085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154399408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154400825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154438408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154440145
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154459681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154461461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154461739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154463630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1574154477430
