what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471830290
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471836830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471844183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471849074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471863224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471864845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471870097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471894397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471896506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471910490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471914972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471918854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471921361
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471926011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471927150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471935446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471939876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573471955748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472113954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472135432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472263943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472267395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472301274
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1573472314856
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1573472314905
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472320660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472322532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472325102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472332349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472342128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472384393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472478124
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472560414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472564698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472571070
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472574469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472644878
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472651599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472659332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472662116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472663306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472664533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472694641
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472696243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472699709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472704674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1573472988154
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1573472994313
